No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
115,"South America",VE,Venezuela,Tequeno,"Tequeno is a fried breaded cheese stick or a spear of bread dough with queso blanco (fresh cheese) stuffed in the middle, and is a popular meal or snack in Venezuela. To prepare it, the dough is wrapped around a cheesestick and formed into a breadstick so it can be fried in oil for 6 minutes at 204 celcius or sometimes oven-baked. Tequenos can be eaten for breakfast, as a starter or sidedish, or as a snack food at parties and weddings.
Colombian starters plate, Tequenos front left Tequenos originate in Venezuela. There are many theories and legends about the origin of their name, one of which is that they were named after Los Teques for being invented in the kitchen of one of the wealthy families living there. This anecdote could just as well be an urban myth, yet it's the most accepted theory.
Many different recipes for tequenos can be found online. Tequenos can be made with different varieties of cheese, and even with sweet fillings like chocolate or guava although salty white cheeses are the most popular. Tequenos have become very popular in other regions within Latin America because of how easy they are to make, thanks to the Venezuelan diaspora. They have also become increasingly popular in Spain.
There are similar dishes, such as Peruvian Tequenos, which use a Wantan dough and can have other fillings than cheese. They are often eaten with Guacamole.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Teque%C3%B1on%2C_a_big_teque%C3%B1o.jpg/375px-Teque%C3%B1on%2C_a_big_teque%C3%B1o.jpg,,
116,"South America",VE,Venezuela,Mandoca,"A mandoca is a Venezuelan deep fried cornmeal ring that is usually eaten with butter and cheese while still hot. It is usually served at breakfast, and it is most popular in Zulia state of the country. The mandoca is one of a variety of specialties exclusively created in the western state of Zulia. Though their relevance has been shaded by the new transnational tendencies because its creation was not intended for massive consumption or for marketing, it remains a basic and important part of the culinary culture of Zulia. It is made of corn meal, water, salt, grated "queso blanco" (hard, salty, white cheese), sugar or panela (jaggery, used in most traditional recipes), and very ripe plantain.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Mandocas_maracuchas.jpg/375px-Mandocas_maracuchas.jpg,,
117,"South America",VE,Venezuela,casabe,"A casabe is a thin flatbread made from bitter cassava root without leavening. It was originally produced by the indigenous Arawak and Carib peoples because these roots were a common plant of the rain forests where they lived. In eastern Venezuela, many indigenous groups still make casabe. It is their chief bread-like staple. Indigenous communities, such as the Ye-Kuana, Kari-Ña, Yanomami, Guarao or Warao descended from the Caribe or Arawac nations, still make casabe.
Casabe baking in a small commercial bakery
To make casabe, the starchy root of bitter cassava is ground to a pulp, then squeezed to expel a milky, bitter liquid called yare. This carries the poisonous substances with it out of the pulp. Traditionally, this squeezing is done in a sebucan, an 8 to 12-foot (3.7 m) long, tube-shaped, pressure strainer, woven in a characteristic helical pattern from palm leaves. The sebucan usually is hung from a tree branch or ceiling pole, and it has a closed bottom with a loop that is attached to a fixed stick or lever, which is used to stretch the sebucan. When the lever is pushed down, stretching the sebucan, the helical weaving pattern causes the strainer to squeeze the pulp inside. This is similar to the action of a Chinese finger trap. The pulp is spread in thin, round cakes about 2 feet (0.61 m) in diameter on a budare to roast or toast.
Thin and crisp cakes of casabe are often broken apart and eaten like crackers. Like bread, casabe can be eaten alone or with other dishes. Thicker casabe usually are eaten slightly moistened. A sprinkle of a few drops of liquid is enough to transform a dry casabe into soft smooth bread.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Elaboraciondelcasabe.jpg/330px-Elaboraciondelcasabe.jpg,,
118,"South America",CL,Chile,Curanto,"Curanto is a traditional food of Chiloe Archipelago that has spread to the southern areas of Chile and Argentina, whose remains dated back about 11,525 plus or minus 90 uncalibrated years before present. It consists of seafood, meat, potatoes and vegetables and is traditionally prepared in a hole, about a meter and a half (approx. one and a half yards) deep, which is dug in the ground. The bottom is covered with stones, heated in a bonfire until red.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Destape_de_curanto.JPG/450px-Destape_de_curanto.JPG,,
119,"South America",CL,Chile,"Paila Marina","Paila marina is a traditional Chilean seafood soup or light stew usually served in a paila (earthenware bowl). It usually contains a shellfish stock base cooked with different kinds of shellfish and fish. These are complemented with a variety of herbs and spices such as paprika and parsley.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Paila_marina.jpg/375px-Paila_marina.jpg,,
120,"South America",CL,Chile,"Pastel de Choclo","Pastel de choclo ('corn pie') is a South American dish based on sweetcorn or choclo. It is also similar to pastel de elote, found in Mexican cuisine, and to the English corn pudding. The filling usually contains ground beef, chicken, raisins, black olives, onions or slices of 
 hard boiled egg.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Pastel_de_choclo.jpg/375px-Pastel_de_choclo.jpg,,
121,"South America",CL,Chile,"Lomo a lo Pobre","Lomo a lo pobre, bistec a lo pobre or bife a lo pobre is a dish from Chile and Peru. The common ingredients for both preparations are beef tenderloin (Spanish lomo) topped with one or more fried eggs and French fries. The ingredients that differentiate both dishes are fried onions, as it is served in Chile, and rice and fried plantains. Unlike steak and eggs, lomo a lo pobre is eaten as a lunch or dinner.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Lomo_a_lo_pobre_Oct_29_2011_Santiago_Chile.jpg/330px-Lomo_a_lo_pobre_Oct_29_2011_Santiago_Chile.jpg,,
122,"South America",CL,Chile,"Ensalada chilena","Chilean salad or ensalada chilena is a salad containing tomato, onion, coriander and olive oil, and sometimes with chili peppers. The onion may be soaked in boiling salted water, to soften it and reduce its sharpness. It may also be soaked in cold water for an hour or so, or marinated with vinegar.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Ensalada_a_la_Chilena_%284769277224%29.jpg/330px-Ensalada_a_la_Chilena_%284769277224%29.jpg,,
123,"South America",AR,Argentina,Provoleta,"Provoleta is an Argentine variant of provolone cheese described as "Argentine pulled-curd Provolone cheese." It is eaten barbecued in Argentina and Uruguay. The cheese was developed by Natalio Alba, a native of Calabria, Italy, in about 1940, and the PROVOLETA trademark was established in 1963. The cheese is produced with a pulled-curd (pasta filata) technique. Small discs of locally produced provolone cheese of 10 to 15 cm in diameter and 1 to 2 cm in height are often eaten at the start of an asado, before the grilled meat. The provolone, often topped with chilli and oregano, is placed directly on the grill, on small stones or inside a foil plate, and cooked until part-melted.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Asado2.jpg/220px-Asado2.jpg,,
124,"South America",AR,Argentina,"Dulce de Leche","Dulce de leche is a confection from Latin America prepared by slowly heating sweetened milk to create a substance that derives its flavor from the Maillard reaction, also changing color, with an appearance and flavor similar to caramel. Dulce de leche is Spanish for "Sweet of milk" or "caramel". In Chile, dulce de leche is known as "manjar de leche" or just "manjar".",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/DulceDeLeche.jpg/220px-DulceDeLeche.jpg,,
125,"South America",AR,Argentina,chimichurri,"Chimichurri is an uncooked sauce used both in cooking and as a table condiment for grilled meat. It originated in Argentina, and comes in a green (chimichurri verde) and a red (chimichurri rojo) version. It is made of finely chopped parsley, minced garlic, olive oil, oregano and red wine vinegar. The dominant flavors are parsley and garlic. It is widely used in Argentina and Uruguay.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Chimichurri2.jpg/220px-Chimichurri2.jpg,,
126,"East Asia",KR,Korea,Kimchi,"Kimchi, a staple in Korean cuisine, is a famous traditional side dish of salted and fermented vegetables, such as napa cabbage and Korean radish, made with a widely varying selection of seasonings including gochugaru (chili powder), spring onions, garlic, ginger, and jeotgal (salted seafood), etc. There are hundreds of varieties of kimchi made with different vegetables as the main ingredients. Traditionally, kimchi was stored in-ground in large earthenware to prevent the kimchi from being frozen during the winter months. It was the primary way of storing vegetables throughout the seasons. In the summer the in-ground storage kept the kimchi cool enough to slow down the fermentation process. In contemporary times, kimchi refrigerators are more commonly used to store kimchi.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Various_kimchi.jpg/330px-Various_kimchi.jpg,,
127,"East Asia",KR,Korea,Sikhye,"Sikhye is a traditional sweet Korean rice beverage, usually served as a dessert. In addition to its liquid ingredients, Sikhye contains grains of cooked rice and in some cases pine nuts. It is similar to the Chinese jiuniang and Japanese amazake.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Korean.food-Sikhye-01.jpg/330px-Korean.food-Sikhye-01.jpg,,
128,"East Asia",KR,Korea,Doenjang-jjigae,"Doenjang-jjigae or soybean paste stew is a rich, silky jjigae (stew) made with doenjang (soybean paste) and available ingredients such as vegetables (scallions, aehobak, radishes, potatoes, chili pepper), mushrooms, tofu, seafood (shrimp, clams) and meat (beef, pork). Often, small amount of gochujang (red chili paste) is added for a hint of heat. It is one of Korea's most-popular jjigae, served from breakfast to late-night. It is heartier, thicker and more pungent compared to doenjang-guk (soybean paste soup).",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Doenjang-jjigae.jpg/330px-Doenjang-jjigae.jpg,,
129,"East Asia",KR,Korea,Bibimbap,"Bibimbap, sometimes romanized as bi bim bap or bi bim bop, is a Korean rice dish. The term "bibim" means mixing various ingredients, while the "bap" noun refers to rice. Bibimbap is served as a bowl of warm white rice topped with namul (sautéed and seasoned vegetables) or kimchi (traditional fermented vegetables) and gochujang (chili pepper paste), soy sauce, or doenjang (a fermented soybean paste). A raw or fried egg and sliced meat (usually beef) are common additions. The hot dish is stirred together thoroughly just before eating. In South Korea, Jeonju, Jinju, and Tongyeong are especially famous for their versions of bibimbap. In 2011, the dish was listed at number 40 on the World's 50 most delicious foods readers' poll compiled by CNN Travel.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dolsot-bibimbap.jpg/330px-Dolsot-bibimbap.jpg,,
130,"East Asia",KR,Korea,Tteok,"Tteok is a class of Korean rice cakes made with steamed flour made of various grains, including glutinous or non-glutinous rice. Steamed flour can also be pounded, shaped, or pan-fried to make tteok. In some cases, tteok is pounded from cooked grains. The pronunciation is between a "t" and a "d" sound, ending with "-ukk". It could also be written as ttukk, ddukk, dhukk, or ddeok. Tteok is enjoyed not only as a dessert or seasonal delicacy, but also as a meal. It can range from elaborate versions made of various colors, fragrances, and shapes using nuts, fruits, flowers, and namul (herbs/wild greens), to plain white rice tteok used in home cooking. Some common ingredients for many kinds of tteok are red bean, soybean, mung bean, mugwort, pumpkin, chestnut, pine nut, jujube, dried fruits, sesame seeds and oil, and honey. Tteok is usually a food that is shared. Tteok offered to spirits is called boktteok ("good fortune rice cake") and shared with neighbours and relatives. It is also one of the celebratory foods used in banquets, rites, and various festive events. Tteokguk ("rice cake soup") is shared to celebrate Korean New Year and songpyeon is shared on Chuseok, a harvest festival.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Tteok.jpg/330px-Tteok.jpg,,
